Halle Dieselstraße A+B;StW Halle GmbH;ST;06112;Halle (Saale);100,0;110,0;2005;GuD;Erdgas
Hamburg-Moorburg A;Vattenfall Europe GmbH;HH;21079;Hamburg;827,0;120,0;2015;HKW;Steinkohle
Hamburg-Moorburg B;Vattenfall Europe GmbH;HH;21079;Hamburg;827,0;120,0;2015;HKW;Steinkohle
Hamburg-Tiefstack GuD;Vattenfall Europe GmbH;HH;22113;Hamburg;142,0;170,0;2008;HKW / GuD;Erdgas
Hamburg-Tiefstack HKW;Vattenfall Europe GmbH;HH;22113;Hamburg;205,0;785,0;1993;HKW;Steinkohle
Hamm-Uentrop 10;Trianel Power Kraftwerk H.-U. GmbH;NW;59071;Hamm;425,0;;2007;GuD;Erdgas
Hamm-Uentrop 20;Trianel Power Kraftwerk H.-U. GmbH;NW;59071;Hamm;425,0;;2007;GuD;Erdgas
Hannover-Linden;Enercity (StW Hannover) / Uniper SE;NI;30169;Hannover;255,0;185,0;1999 (2013);GuD;Erdgas
Hannover-Stöcken;Enercity (StW Hannover), Continental, VWK;NI;30149;Hannover;300,0;425,0;1989;HKW;Steinkohle
Happurg 1 bis 4 / Pegnitz;Uniper SE;BY;91230;Happurg;162,1;;1958;PSW;Wasser
Häusern 1 bis 4;Schluchseewerk AG;BW;79837;Häusern;145,0;;1931 (1948);PSW;Wasser
Hausham GT 1 bis 4;Peißenberger Kraftwerks GmbH (PKG);BY;83734;Hausham;107,0;25,0;1982;GT;HEL
Havelland;WPD AG;BB;14776;Havelland;171,9;;2005-2009;WEA;Wind (L)
Heilbronn 5;EnBW Kraftwerke AG;BW;74076;Heilbronn;125,0;28,0;1965 (2010);DKW;Steinkohle
Heilbronn 6;EnBW Kraftwerke AG;BW;74076;Heilbronn;125,0;28,0;1966 (2010);DKW;Steinkohle
Heilbronn 7;EnBW Kraftwerke AG;BW;74076;Heilbronn;816,0;550,0;1985 (2009);HKW;Steinkohle
Herdecke H3 (Cuno);Mark-E AG / Statkraft;NW;58313;Herdecke;424,0;n.b.;2007;GuD;Erdgas
Herne 4;Steag GmbH / StW Herne;NW;44653;Herne;511,0;550,0;1989 (2013);HKW;Steinkohle
Heyden;Uniper SE;NW;32469 ;Petershagen;923,0;;1987;DKW;Steinkohle
Hohenwarte II  A bis H;Vattenfall Wasserkraft GmbH;TH;07338;Hohenwarte;320,0;;1966;PSW;Wasser
Holtriem-Dornum;Windpark Norderland, Dornum & Holtriem;NI;26556;Westerholt;167,0;;1997-2013;WEA;Wind (L)
Huckingen A;RWE Power AG / HKM GmbH;NW;47259;Huckingen;320,0;34,0;1975 (2009);GuD;Gichtgas
Huckingen B;RWE Power AG / HKM GmbH;NW;47259;Huckingen;320,0;34,0;1976 (2011);GuD;Gichtgas
Huntorf CAES;Uniper SE;NI;26931;Elsfleth;321,0;;1978 (2006);GT;Erdgas
Hüselitz;Windpark Hüselitz GmbH;ST;39579;Hüselitz;151,2;;2015 / 2016;WEA;Wind (L)
Ibbenbüren;RWE Power AG;NW;49479 ;Ibbenbüren;838,0;20,0;1985 (2009);DKW;Steinkohle
Iffezheim 1-5 / Rhein;Rheinkraftwerk Iffezheim GmbH (RKI);BW;76473 ;Iffezheim;152,0;;1978 / 2013;LWK;Wasser
Ingolstadt 3 - Großmehring;Uniper SE;BY;85098;Großmehring;420,0;;1973;DKW;HS
Ingolstadt 4 - Großmehring;Uniper SE;BY;85098;Großmehring;420,0;;1974;DKW;HS
Irsching 3;Uniper SE;BY;85088;Vohburg;440,0;25,0;1974;DKW;Erdgas
Irsching 4;Uniper SE;BY;85088;Vohburg;578,0;n.b.;2011;GuD;Erdgas
Irsching 5;Uniper SE, N-Ergie, Mainova, Heag;BY;85088;Vohburg;876,0;n.b.;2010;GuD;Erdgas
Isar 2 - Essenbach (KKI) (Ohu);E.ON Kernkraft GmbH;BY;84051;Essenbach;1485,0;;1988;DWR;Uran
Jänschwalde A;Lausitz Energie Kraftwerke AG (LEAG);BB;03185;Peitz;535,0;76,3;1981 (1996);DKW;Braunkohle
Jänschwalde B;Lausitz Energie Kraftwerke AG (LEAG);BB;03185;Peitz;535,0;76,3;1982 (1996);DKW;Braunkohle
